instrument_token,,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
133151492,,520123,ABCINDQ,ABC INDIA.,0,,0,0.05,1,EQ,BSE,BSE
137153284,,535755,ABFRL,ADITYA BIRLA FASHION AND RETAI,0,,0,0.05,1,EQ,BSE,BSE
136206596,,532057,ABHICAP,ABHINAV CAPITAL SERVICES.,0,,0,0.05,1,EQ,BSE,BSE
137967364,,538935,ABHIFIN,ABHISHEK FINLEASE ,0,,0,0.05,1,EQ,BSE,BSE
138123268,,539544,ABHIINFRA,ABHISHEK INFRAVENTURES ,0,,0,0.01,1,EQ,BSE,BSE
138127364,,539560,ABHIJIT,ABHIJIT TRADING CO..,0,,0,0.01,1,EQ,BSE,BSE
135977220,,531161,ABMKNO,ABM KNOWLEDGEWARE.,0,,0,0.05,1,EQ,BSE,BSE
139103748,,543374,ABSLAMC,ADITYA BIRLA SUN LIFE AMC LIMI,0,,0,0.05,1,EQ,BSE,BSE
138972932,,542863,ABSLBANETF,ADITYA BIRLA SUN LIFE MUTUAL F,0,,0,0.01,1,EQ,BSE,BSE
138810884,,542230,ABSLNN50ET,ADITYA BIRLA SUN LIFE MUTUAL F,0,,0,0.01,1,EQ,BSE,BSE
128104964,,500410,ACC,ACC.,0,,0,0.05,1,EQ,BSE,BSE
132478468,,517494,ACCEL,ACCEL,0,,0,0.05,1,EQ,BSE,BSE
136260612,,532268,ACCELYA,ACCELYA SOLUTIONS INDIA LIMITE,0,,0,0.05,1,EQ,BSE,BSE
136387076,,532762,ACE,ACTION CONSTRUCTION EQUIPMENT,0,,0,0.05,1,EQ,BSE,BSE
135851268,,530669,ACEENGITEC,ACE ENGITECH,0,,0,0.01,1,EQ,BSE,BSE
138153220,,539661,ACEMEN,ACE MEN ENGG WORKS,0,,0,0.05,1,EQ,BSE,BSE
136070404,,531525,ACESOFT,ACE SOFTWARE EXPORTS.,0,,0,0.05,1,EQ,BSE,BSE
138530052,,541133,ACFL,APEX CAPITAL AND FINANCE LIMIT,0,,0,0.05,1,EQ,BSE,BSE
129289220,,505036,ACGL,AUTOMOBILE CORPORATION OF GOA,0,,0,0.05,1,EQ,BSE,BSE
139176196,,543657,ACI,ARCHEAN CHEMICAL INDUSTRIES LI,0,,0,0.05,1,EQ,BSE,BSE
132443140,,517356,ACIIN,ACI INFOCOM.,0,,0,0.01,1,EQ,BSE,BSE
135691012,,530043,ACKNIT,ACKNIT INDUSTRIES.,0,,0,0.05,1,EQ,BSE,BSE
138532868,,541144,ACTIVE,ACTIVE CLOTHING CO  ,0,,0,0.05,1,EQ,BSE,BSE
131225348,,512599,ADANIENT,ADANI ENTERPRISES.,0,,0,0.05,1,EQ,BSE,BSE
138611204,,541450,ADANIGREEN,ADANI GREEN ENERGY ,0,,0,0.05,1,EQ,BSE,BSE
136427780,,532921,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOM,0,,0,0.05,1,EQ,BSE,BSE
138049028,,539254,ADANITRANS,ADANI TRANSMISSION ,0,,0,0.05,1,EQ,BSE,BSE
137872132,,538563,ADARSH,ADARSH MERCANTILE,0,,0,0.01,1,EQ,BSE,BSE
134838020,,526711,ADARSHPL,ADARSH PLANT PROTECT.,0,,0,0.05,1,EQ,BSE,BSE
133993220,,523411,ADCINDIA,ADC INDIA COMMUNICATIONS LIMIT,0,,0,0.05,1,EQ,BSE,BSE
138113540,,539506,ADCON,ADCON CAPITAL SERVICES ,0,,0,0.01,1,EQ,BSE,BSE
130010116,,507852,ADDIND,ADDI INDUSTRIES.,0,,0,0.05,1,EQ,BSE,BSE
132910852,,519183,ADFFOODS,ADF FOODS.,0,,0,0.05,1,EQ,BSE,BSE
138110212,,539493,ADHARSHILA,ADHARSHILA CAPITAL SERVICES LI,0,,0,0.01,1,EQ,BSE,BSE
136206340,,532056,ADIEXRE,ADINATH EXIM RESOURCES.,0,,0,0.05,1,EQ,BSE,BSE
131612932,,514113,ADINATH,ADINATH TEXTILES.,0,,0,0.05,1,EQ,BSE,BSE
131459332,,513513,ADITYA,ADITYA ISPAT.,0,,0,0.01,1,EQ,BSE,BSE
133412100,,521141,ADITYASP,ADITYA SPINNERS.,0,,0,0.05,1,EQ,BSE,BSE
130907908,,511359,ADMANUM,AD-MANUM FINANCE.,0,,0,0.05,1,EQ,BSE,BSE
135790340,,530431,ADORFO,ADOR FONTECH.,0,,0,0.05,1,EQ,BSE,BSE
133918724,,523120,ADORMUL,ADOR MULTIPRODUCTS.,0,,0,0.05,1,EQ,BSE,BSE
132362500,,517041,ADORWELD,ADOR WELDING.,0,,0,0.05,1,EQ,BSE,BSE
136236036,,532172,ADROITINFO,ADROIT INFOTECH ,0,,0,0.05,1,EQ,BSE,BSE
136416004,,532875,ADSL,ALLIED DIGITAL SERVICES.,0,,0,0.05,1,EQ,BSE,BSE
133956868,,523269,ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA,0,,0,0.05,1,EQ,BSE,BSE
138246404,,540025,ADVENZYMES,ADVANCED ENZYME TECHNOLOGIES L,0,,0,0.05,1,EQ,BSE,BSE
138181892,,539773,ADVIKCA,ADVIK CAPITAL ,0,,0,0.01,1,EQ,BSE,BSE
133388292,,521048,ADVLIFE,ADVANCE LIFESTYLES.,0,,0,0.05,1,EQ,BSE,BSE
128000772,,500003,AEGISLOG,AEGIS LOGISTICS.,0,,0,0.05,1,EQ,BSE,BSE
138034180,,539196,AEL,AMBA ENTERPRISES.,0,,0,0.05,1,EQ,BSE,BSE
138923524,,542670,AEPL,ARTEMIS ELECTRICALS AND PROJEC,0,,0,0.05,1,EQ,BSE,BSE
139144708,,543534,AETHER,AETHER INDUSTRIES ,0,,0,0.05,1,EQ,BSE,BSE
137817860,,538351,AFEL,A.F. ENTERPRISES,0,,0,0.01,1,EQ,BSE,BSE
138944516,,542752,AFFLE,AFFLE (INDIA) ,0,,0,0.05,1,EQ,BSE,BSE
136171780,,531921,AGARIND,AGARWAL INDUSTRIAL CORPORATION,0,,0,0.05,1,EQ,BSE,BSE
128047876,,500187,AGI,AGI GREENPAC,0,,0,0.05,1,EQ,BSE,BSE
137994756,,539042,AGIIL,AGI INFRA ,0,,0,0.05,1,EQ,BSE,BSE
132101124,,516020,AGIOPAPER,AGIO PAPER & INDUSTRIES.,0,,0,0.01,1,EQ,BSE,BSE
137546756,,537292,AGRITECH,AGRI- TECH (INDIA),0,,0,0.05,1,EQ,BSE,BSE
139123460,,543451,AGSTRA,AGS TRANSACT TECHNOLOGIES LIMI,0,,0,0.05,1,EQ,BSE,BSE
136399620,,532811,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LT,0,,0,0.05,1,EQ,BSE,BSE
133701892,,522273,AHMDSTE,AHMEDABAD STEELCRAFT.,0,,0,0.05,1,EQ,BSE,BSE
136366852,,532683,AIAENG,AIA ENGINEERING.,0,,0,0.05,1,EQ,BSE,BSE
136398340,,532806,AICHAMP,AI CHAMPDANY INDUSTRIES.,0,,0,0.05,1,EQ,BSE,BSE
138029316,,539177,AIIL,AUTHUM INVESTMENT & INFRASTRUC,0,,0,0.05,1,EQ,BSE,BSE
134217732,,524288,AIMCOPEST,AIMCO PESTICIDES.,0,,0,0.05,1,EQ,BSE,BSE
136720388,,534064,AIML,ALLIANCE INTEGRATED METALIKS L,0,,0,0.05,1,EQ,BSE,BSE
138142724,,539620,AINFRA,A INFRASTRUCTURE ,0,,0,0.05,1,EQ,BSE,BSE
227880196,,890157,AIRTELPP,BHARTI AIRTEL .,0,,0,0.05,1,EQ,BSE,BSE
136276740,,532331,AJANTPHARM,AJANTA PHARMA.,0,,0,0.05,1,EQ,BSE,BSE
132919300,,519216,AJANTSOY,AJANTA SOYA.,0,,0,0.05,1,EQ,BSE,BSE
130993156,,511692,AJCON,AJCON GLOBAL SERVICES.,0,,0,0.05,1,EQ,BSE,BSE
131417348,,513349,AJMERA,AJMERA REALTY & INFRA INDIA LT,0,,0,0.05,1,EQ,BSE,BSE
136437508,,532959,AJRINFRA,AJR INFRA AND TOLLING,0,,0,0.01,1,EQ,BSE,BSE
137927172,,538778,AKASHDEEP,AKASHDEEP METAL INDUSTRIES LIM,0,,0,0.05,1,EQ,BSE,BSE
135807748,,530499,AKCAPIT,A.K.CAPITAL SERVICES.,0,,0,0.05,1,EQ,BSE,BSE
134297092,,524598,AKSCHEM,AKSHARCHEM (INDIA).,0,,0,0.05,1,EQ,BSE,BSE
138573572,,541303,AKSHAR,AKSHAR SPINTEX ,0,,0,0.05,1,EQ,BSE,BSE
136281860,,532351,AKSHOPTFBR,AKSH OPTIFIBRE.,0,,0,0.01,1,EQ,BSE,BSE
138060804,,539300,AKSPINTEX,A.K. SPINTEX.,0,,0,0.05,1,EQ,BSE,BSE
128181764,,500710,AKZOINDIA,AKZO NOBEL INDIA,0,,0,0.05,1,EQ,BSE,BSE
138013444,,539115,ALAN SCOTT,ALAN SCOTT INDUSTRIES.,0,,0,0.05,1,EQ,BSE,BSE
135956996,,531082,ALANKIT,ALANKIT,0,,0,0.01,1,EQ,BSE,BSE
134163204,,524075,ALBERTDA,ALBERT DAVID.,0,,0,0.05,1,EQ,BSE,BSE
129596164,,506235,ALEMBICLTD,ALEMBIC.,0,,0,0.05,1,EQ,BSE,BSE
130934532,,511463,ALEXANDER,ALEXANDER STAMPS AND COIN LIMI,0,,0,0.05,1,EQ,BSE,BSE
135929092,,530973,ALFAICA,ALFA ICA (INDIA).,0,,0,0.05,1,EQ,BSE,BSE
132491780,,517546,ALFATRAN,ALFA TRANSFORMERS.,0,,0,0.01,1,EQ,BSE,BSE
135975940,,531156,ALFAVIO,ALFAVISION OVERSEAS (INDIA) LT,0,,0,0.01,1,EQ,BSE,BSE
137971716,,538952,ALFL,ABHINAV LEASING & FINANCE LIMI,0,,0,0.01,1,EQ,BSE,BSE
129335300,,505216,ALFREDHE,ALFRED HERBERT (INDIA).,0,,0,0.05,1,EQ,BSE,BSE
135973636,,531147,ALICON,ALICON CASTALLOY,0,,0,0.05,1,EQ,BSE,BSE
136455428,,533029,ALKALI,ALKALI METALS.,0,,0,0.05,1,EQ,BSE,BSE
138117892,,539523,ALKEM,ALKEM LABORATORIES ,0,,0,0.05,1,EQ,BSE,BSE
129732356,,506767,ALKYLAMINE,ALKYL AMINES CHEMICALS.,0,,0,0.05,1,EQ,BSE,BSE
136383748,,532749,ALLCARGO,ALLCARGO LOGISTICS.,0,,0,0.05,1,EQ,BSE,BSE
136354052,,532633,ALLSEC,ALLSEC TECHNOLOGIES.,0,,0,0.05,1,EQ,BSE,BSE
136038404,,531400,ALMONDZ,ALMONDZ GLOBAL SECURITIES.,0,,0,0.05,1,EQ,BSE,BSE
136416772,,532878,ALPA,ALPA LABORATORIES.,0,,0,0.05,1,EQ,BSE,BSE
134757636,,526397,ALPHAGEO,ALPHAGEO (INDIA).,0,,0,0.05,1,EQ,BSE,BSE
134788868,,526519,ALPINEHOU,ALPINE HOUSING DEVELOPMENT COR,0,,0,0.05,1,EQ,BSE,BSE
135863044,,530715,ALPSINDUS,ALPS INDUSTRIES.,0,,0,0.01,1,EQ,BSE,BSE
138054916,,539277,ALSTONE,ALSTONE TEXTILES (INDIA),0,,0,0.05,1,EQ,BSE,BSE
134306308,,524634,ALUFLUOR,ALUFLUORIDE.,0,,0,0.05,1,EQ,BSE,BSE
129688836,,506597,AMAL,AMAL.,0,,0,0.05,1,EQ,BSE,BSE
128415236,,501622,AMALGAM,AMALGAMATED ELECTRICITY CO.LTD,0,,0,0.05,1,EQ,BSE,BSE
128002052,,500008,AMARAJABAT,AMARA RAJA BATTERIES.,0,,0,0.05,1,EQ,BSE,BSE
133400836,,521097,AMARJOTHI,AMARJOTHI SPINNING MILLS.,0,,0,0.05,1,EQ,BSE,BSE
137948932,,538863,AMARNATH,SRI AMARNATH FINANCE,0,,0,0.01,1,EQ,BSE,BSE
137847044,,538465,AMARSEC,AMARNATH SECURITIES,0,,0,0.05,1,EQ,BSE,BSE
128002308,,500009,AMBALALSA,AMBALAL SARABHAI ENTERPRISES L,0,,0,0.05,1,EQ,BSE,BSE
132984580,,519471,AMBARPIL,AMBAR PROTEIN INDUSTRIES LIMIT,0,,0,0.05,1,EQ,BSE,BSE
138470916,,540902,AMBER,AMBER ENTERPRISES INDIA LIMITE,0,,0,0.05,1,EQ,BSE,BSE
136186372,,531978,AMBIKCO,AMBIKA COTTON MILLS.,0,,0,0.05,1,EQ,BSE,BSE
138041092,,539223,AMBITION,AMBITION MICA ,0,,0,0.01,1,EQ,BSE,BSE
128108804,,500425,AMBUJACEM,AMBUJA CEMENTS.,0,,0,0.05,1,EQ,BSE,BSE
135714052,,530133,AMCOIND,AMCO INDIA.,0,,0,0.05,1,EQ,BSE,BSE
136110340,,531681,AMERISE,AMERISE BIOSCIENCES,0,,0,0.01,1,EQ,BSE,BSE
131357956,,513117,AMFORG,AMFORGE INDUSTRIES.,0,,0,0.01,1,EQ,BSE,BSE
138693380,,541771,AMINTAN,AMIN TANNERY,0,,0,0.01,1,EQ,BSE,BSE
139097348,,543349,AMIORG,AMI ORGANICS ,0,,0,0.05,1,EQ,BSE,BSE
128087812,,500343,AMJLAND,AMJ LAND HOLDINGS,0,,0,0.05,1,EQ,BSE,BSE
129599492,,506248,AMNPLST,AMINES & PLASTICIZERS.,0,,0,0.05,1,EQ,BSE,BSE
136189700,,531991,AMRAAGRI,AMRAWORLD AGRICO.,0,,0,0.01,1,EQ,BSE,BSE
134717700,,526241,AMRAPLIN,AMRAPALI INDUSTRIES.,0,,0,0.01,1,EQ,BSE,BSE
151041540,,590006,AMRUTANJAN,AMRUTANJAN HEALTH CARE.,0,,0,0.05,1,EQ,BSE,BSE
138256900,,540066,AMS,AMS POLYMERS,0,,0,0.05,1,EQ,BSE,BSE
136860676,,534612,AMTL,ADVANCE METERING TECHNOLOGY LT,0,,0,0.05,1,EQ,BSE,BSE
128417284,,501630,ANANDPROJ,ANAND PROJECTS,0,,0,0.05,1,EQ,BSE,BSE
139114244,,543415,ANANDRATHI,ANAND RATHI WEALTH ,0,,0,0.05,1,EQ,BSE,BSE
131854084,,515055,ANANTRAJ,ANANT RAJ,0,,0,0.05,1,EQ,BSE,BSE
128596484,,502330,ANDHRAPAP,ANDHRA PAPER,0,,0,0.05,1,EQ,BSE,BSE
128003076,,500012,ANDHRAPET,ANDHRA PETROCHEMICALS.,0,,0,0.05,1,EQ,BSE,BSE
151055876,,590062,ANDHRSUGAR,ANDHRA SUGARS.,0,,0,0.05,1,EQ,BSE,BSE
134700292,,526173,ANDREWYU,ANDREW YULE & COMPANY.,0,,0,0.05,1,EQ,BSE,BSE
136000516,,531252,ANERI,ANERI FINCAP,0,,0,0.01,1,EQ,BSE,BSE
138417668,,540694,ANG,ANG LIFESCIENCES INDIA ,0,,0,0.05,1,EQ,BSE,BSE
139068164,,543235,ANGELONE,ANGEL ONE,0,,0,0.05,1,EQ,BSE,BSE
132962052,,519383,ANIKINDS,ANIK INDUSTRIES.,0,,0,0.05,1,EQ,BSE,BSE
135993092,,531223,ANJANI,ANJANI SYNTHETICS.,0,,0,0.05,1,EQ,BSE,BSE
136160772,,531878,ANJANIFIN,ANJANI FINANCE.,0,,0,0.01,1,EQ,BSE,BSE
130855172,,511153,ANJANIFOODS,ANJANI FOODS ,0,,0,0.05,1,EQ,BSE,BSE
136108292,,531673,ANKIN,ANKA INDIA.,0,,0,0.01,1,EQ,BSE,BSE
136414724,,532870,ANKITMETAL,ANKIT METAL & POWER.,0,,0,0.01,1,EQ,BSE,BSE
138863876,,542437,ANMOL,ANMOL INDIA ,0,,0,0.05,1,EQ,BSE,BSE
135884548,,530799,ANNAINFRA,ANNA INFRASTRUCTURES.,0,,0,0.01,1,EQ,BSE,BSE
133889796,,523007,ANSALBU,ANSAL BUILDWELL.,0,,0,0.05,1,EQ,BSE,BSE
130003972,,507828,ANSALHSG,ANSAL HOUSING,0,,0,0.01,1,EQ,BSE,BSE
131095300,,512091,ANSHNCO,ANSHUNI COMMERCIALS.,0,,0,0.01,1,EQ,BSE,BSE
136039940,,531406,ANSINDUS,ANS INDUSTRIES,0,,0,0.01,1,EQ,BSE,BSE
128325124,,501270,ANTARIKSH,ANTARIKSH INDUSTRIES,0,,0,0.01,1,EQ,BSE,BSE
137941252,,538833,ANUBHAV,ANUBHAV INFRASTRUCTURE ,0,,0,0.01,1,EQ,BSE,BSE
129602564,,506260,ANUHPHR,ANUH PHARMA.,0,,0,0.05,1,EQ,BSE,BSE
138869764,,542460,ANUP,THE ANUP ENGINEERING,0,,0,0.05,1,EQ,BSE,BSE
135707908,,530109,ANUPAM,ANUPAM FINSERV,0,,0,0.01,1,EQ,BSE,BSE
139078404,,543275,ANURAS,ANUPAM RASAYAN INDIA ,0,,0,0.05,1,EQ,BSE,BSE
136258308,,532259,APARINDS,APAR INDUSTRIES.,0,,0,0.05,1,EQ,BSE,BSE
132631300,,518091,APCL,ANJANI PORTLAND CEMENT.,0,,0,0.05,1,EQ,BSE,BSE
134065668,,523694,APCOTEXIND,APCOTEX INDUSTRIES.,0,,0,0.05,1,EQ,BSE,BSE
138417156,,540692,APEX,APEX FROZEN FOODS ,0,,0,0.05,1,EQ,BSE,BSE
134117380,,523896,APIL,AVI PRODUCTS INDIA,0,,0,0.05,1,EQ,BSE,BSE
129578500,,506166,APIS,APIS INDIA.,0,,0,0.05,1,EQ,BSE,BSE
132376580,,517096,APLAB,APLAB.,0,,0,0.05,1,EQ,BSE,BSE
136642052,,533758,APLAPOLLO,APL APOLLO TUBES.,0,,0,0.05,1,EQ,BSE,BSE
136594692,,533573,APLLTD,ALEMBIC PHARMACEUTICALS.,0,,0,0.05,1,EQ,BSE,BSE
134025476,,523537,APMIN,APM INDUSTRIES.,0,,0,0.05,1,EQ,BSE,BSE
131183876,,512437,APOLLOFI,APOLLO FINVEST (INDIA).,0,,0,0.05,1,EQ,BSE,BSE
130270468,,508869,APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LT,0,,0,0.05,1,EQ,BSE,BSE
136130820,,531761,APOLLOPIPES,APOLLO PIPES,0,,0,0.05,1,EQ,BSE,BSE
128224516,,500877,APOLLOTYRE,APOLLO TYRES.,0,,0,0.05,1,EQ,BSE,BSE
138123524,,539545,APOORVA,APOORVA LEASING FINANCE & INVE,0,,0,0.05,1,EQ,BSE,BSE
136313604,,532475,APTECHT,APTECH.,0,,0,0.05,1,EQ,BSE,BSE
129786628,,506979,APTPACK,APT PACKAGING.,0,,0,0.05,1,EQ,BSE,BSE
139093764,,543335,APTUS,APTUS VALUE HOUSING FINANCE IN,0,,0,0.05,1,EQ,BSE,BSE
129465604,,505725,AQFINTECH,ALGOQUANT FINTECH,0,,0,0.05,1,EQ,BSE,BSE
131160068,,512344,ARAVALIS,ARAVALI SECURITIES & FINANCE L,0,,0,0.01,1,EQ,BSE,BSE
133150980,,520121,ARCEEIN,ARCEE INDUSTRIES.,0,,0,0.01,1,EQ,BSE,BSE
138274564,,540135,ARCFIN,ARC FINANCE ,0,,0,0.01,1,EQ,BSE,BSE
136446468,,532994,ARCHIDPLY,ARCHIDPLY INDUSTRIES.,0,,0,0.05,1,EQ,BSE,BSE
136246276,,532212,ARCHIES,ARCHIES.,0,,0,0.05,1,EQ,BSE,BSE
134307844,,524640,ARCHITORG,ARCHIT ORGANOSYS.,0,,0,0.05,1,EQ,BSE,BSE
134825476,,526662,ARENTERP,RAJDARSHAN INDUSTRIES.,0,,0,0.05,1,EQ,BSE,BSE
134873860,,526851,AREXMIS,AREX INDUSTRIES.,0,,0,0.05,1,EQ,BSE,BSE
134249476,,524412,AREYDRG,AAREY DRUGS & PHARMACEUTICALS,0,,0,0.05,1,EQ,BSE,BSE
138022660,,539151,ARFIN,ARFIN INDIA ,0,,0,0.05,1,EQ,BSE,BSE
134688004,,526125,ARHNTTO,ARIHANT TOURNESOL.,0,,0,0.01,1,EQ,BSE,BSE
136431364,,532935,ARIES,ARIES AGRO.,0,,0,0.05,1,EQ,BSE,BSE
136033540,,531381,ARIHANT,ARIHANT FOUNDATIONS & HOUSING,0,,0,0.05,1,EQ,BSE,BSE
130970884,,511605,ARIHCAPM,ARIHANT CAPITAL MARKETS.,0,,0,0.05,1,EQ,BSE,BSE
135940356,,531017,ARISE,ARIHANTS SECURITIES.,0,,0,0.01,1,EQ,BSE,BSE
136109316,,531677,ARISINT,ARIS INTERNATIONAL.,0,,0,0.05,1,EQ,BSE,BSE
137870340,,538556,ARMAN,ARMAN HOLDINGS,0,,0,0.05,1,EQ,BSE,BSE
135981828,,531179,ARMANFIN,ARMAN FINANCIAL SERVICES.,0,,0,0.05,1,EQ,BSE,BSE
137489668,,537069,ARNOLD,ARNOLD HOLDINGS,0,,0,0.05,1,EQ,BSE,BSE
131514628,,513729,AROGRANITE,ARO GRANITE INDUSTRIES.,0,,0,0.05,1,EQ,BSE,BSE
129554948,,506074,ARSHIYA,ARSHIYA,0,,0,0.01,1,EQ,BSE,BSE
136012036,,531297,ARTEFACT,ARTEFACT PROJECTS.,0,,0,0.05,1,EQ,BSE,BSE
138987268,,542919,ARTEMISMED,ARTEMIS MEDICARE SERVICES LIMI,0,,0,0.05,1,EQ,BSE,BSE
133666308,,522134,ARTSONEN,ARTSON ENGINEERING.,0,,0,0.05,1,EQ,BSE,BSE
128004100,,500016,ARUNAHTEL,ARUNA HOTELS.,0,,0,0.05,1,EQ,BSE,BSE
134895364,,526935,ARUNIS,ARUNIS ABODE,0,,0,0.05,1,EQ,BSE,BSE
128025860,,500101,ARVIND,ARVIND.,0,,0,0.05,1,EQ,BSE,BSE
138875908,,542484,ARVINDFASN,ARVIND FASHIONS ,0,,0,0.05,1,EQ,BSE,BSE
138061060,,539301,ARVSMART,ARVIND SMARTSPACES ,0,,0,0.05,1,EQ,BSE,BSE
135742724,,530245,ARYAMAN,ARYAMAN FINANCIAL SERVICES,0,,0,0.05,1,EQ,BSE,BSE
138797060,,542176,ARYAN,ARYAN SHARE & STOCK BROKERS LT,0,,0,0.01,1,EQ,BSE,BSE
138100484,,539455,ARYAVAN,ARYAVAN ENTERPRISE,0,,0,0.01,1,EQ,BSE,BSE
131847684,,515030,ASAHIINDIA,ASAHI INDIA GLASS.,0,,0,0.05,1,EQ,BSE,BSE
136410372,,532853,ASAHISONG,ASAHI SONGWON COLORS.,0,,0,0.05,1,EQ,BSE,BSE
133150468,,520119,ASAL,AUTOMOTIVE STAMPINGS & ASSEMBL,0,,0,0.05,1,EQ,BSE,BSE
129926660,,507526,ASALCBR,ASSOCIATED ALCOHOLS & BREWERIE,0,,0,0.05,1,EQ,BSE,BSE
132908548,,519174,ASHAI,ASHIANA AGRO INDUSTRIES.,0,,0,0.01,1,EQ,BSE,BSE
134912260,,527001,ASHAPURMIN,ASHAPURA MINECHEM.,0,,0,0.05,1,EQ,BSE,BSE
131135236,,512247,ASHCAP,ASHIRWAD CAPITAL.,0,,0,0.01,1,EQ,BSE,BSE
134071300,,523716,ASHIANA,ASHIANA HOUSING.,0,,0,0.05,1,EQ,BSE,BSE
151071236,,590122,ASHIKACR,ASHIKA CREDIT CAPITAL.,0,,0,0.05,1,EQ,BSE,BSE
131657220,,514286,ASHIMASYN,ASHIMA.,0,,0,0.01,1,EQ,BSE,BSE
131430660,,513401,ASHIS,ASHIANA ISPAT.,0,,0,0.05,1,EQ,BSE,BSE
135789828,,530429,ASHISHPO,ASHISH POLYPLAST.,0,,0,0.05,1,EQ,BSE,BSE
138675716,,541702,ASHNI,ASHNISHA INDUSTRIES ,0,,0,0.01,1,EQ,BSE,BSE
130015236,,507872,ASHNOOR,ASHNOOR TEXTILE MILLS.,0,,0,0.05,1,EQ,BSE,BSE
136517380,,533271,ASHOKA,ASHOKA BUILDCON.,0,,0,0.05,1,EQ,BSE,BSE
134296068,,524594,ASHOKALC,ASHOK ALCO-CHEM.,0,,0,0.05,1,EQ,BSE,BSE
128122116,,500477,ASHOKLEY,ASHOK LEYLAND.,0,,0,0.05,1,EQ,BSE,BSE
134703876,,526187,ASHRAM,ASHRAM ONLINE.COM.,0,,0,0.01,1,EQ,BSE,BSE
134872836,,526847,ASHSI,ASHIRWAD STEELS & INDUSTRIES L,0,,0,0.05,1,EQ,BSE,BSE
